# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2431
#@/user_id	5b754ccd-decf-4aa1-80f7-2bdb3ab9e58b
a 	啊	c=8 d=1.91803 t=2431
hui yi 	會議	c=4 d=0.00306267 t=2431
hui yin 	迴音	c=1 d=0.543351 t=2431
hui you ren 	會有人	c=1 d=0.00293808 t=2431
huo xing 	火星	c=3 d=0.00413117 t=2431
huo xu 	或許	c=1 d=0.261846 t=2431
huo zhe 	或者	c=1 d=0.0248475 t=2431
ji chu 	基礎	c=1 d=1 t=1537
ji ge ren 	幾個人	c=1 d=0.0137736 t=2431
ji ji 	積極	c=1 d=1 t=2223
ji jie 	季節	c=1 d=0.00283702 t=2431
ji nian 	雞年	c=1 d=1 t=1716
ji shi 	幾時	c=0 d=5.72785e-05 t=2431
ji shi nian 	幾十年	c=0 d=0.00407622 t=2431
ji shi nian qu 	幾十年去	c=1 d=0.0409665 t=2431
ji shi you 	幾時有	c=1 d=0.000575656 t=2431
ji shu 	技術	c=1 d=0.0335406 t=2431
ji tian 	幾天	c=1 d=1 t=1804
ji xu 	繼續	c=2 d=0.49088 t=2431
ji zhi 	機制	c=1 d=0.0149956 t=2431
jia 	加	c=2 d=1.93707 t=1803
jia ban 	加班	c=1 d=1 t=1800
jia mi 	加密	c=1 d=0.000949097 t=2431
jia ren 	佳人	c=1 d=1 t=1852
jia she 	假設	c=1 d=0.353455 t=2431
jia you 	加油	c=2 d=0.0121941 t=2431
jian ce 	檢測	c=1 d=0.470011 t=2431
jian guo 	見過	c=1 d=1 t=2375
jiang 	講	c=2 d=1.97531 t=2427
jiang ba 	講吧	c=1 d=0.559898 t=2431
jiang de 	講的	c=1 d=1 t=2067
jiao 	腳	c=2 d=1.83946 t=2042
jiao du 	角度	c=4 d=0.326283 t=2431
jiao pei 	交配	c=2 d=0.00557577 t=2431
jiao shou 	教授	c=1 d=0.000854495 t=2431
jiao su du 	角速度	c=1 d=0.0157644 t=2431
jiao zuo 	叫做	c=1 d=1 t=1842
jie 	解	c=1 d=0.591555 t=2431
jie gou 	結構	c=1 d=0.020141 t=2431
jie he qi lai 	結合起來	c=1 d=1 t=2081
jie hun 	結婚	c=1 d=0.00162866 t=2431
jie jue 	解決	c=1 d=0.045275 t=2431
jie shao 	介紹	c=1 d=1 t=1538
jie shi 	解釋	c=1 d=0.0672055 t=2431
jie shou 	接受	c=2 d=0.750988 t=2431
jie xia lai 	接下來	c=1 d=1 t=2353
jie yong 	借用	c=1 d=0.128735 t=2431
jin tian 	今天	c=10 d=0.97221 t=2431
jin xing 	進行	c=1 d=0.00136719 t=2431
jing chang 	經常	c=1 d=0.0340475 t=2431
jing dong 	京東	c=1 d=0.0140519 t=2431
jing ji xue 	經濟學	c=1 d=1 t=2185
jing ran 	竟然	c=3 d=0.0537034 t=2431
jing yin 	靜音	c=0 d=0.0546074 t=2431
jing yin le 	靜音了	c=2 d=1.11434 t=2431
jiu 	就	c=22 d=2.77441 t=2431
jiu hui 	就會	c=1 d=1 t=2001
jiu ke yi 	就可以	c=1 d=1 t=1806
jiu lian 	就連	c=1 d=0.826959 t=2431
jiu shi 	就是	c=7 d=1.03631 t=2431
jiu xiang 	就像	c=1 d=0.00767337 t=2431
jiu xing le 	就醒了	c=1 d=0.00474815 t=2431
jiu yao 	就要	c=1 d=0.00670434 t=2431
jiu zhe yang 	就這樣	c=1 d=0.0972957 t=2431
ju ban 	舉辦	c=1 d=0.00134011 t=2431
ju li 	距離	c=1 d=0.0165727 t=2431
ju zhen 	矩陣	c=1 d=0.154896 t=2431
juan zeng 	捐贈	c=1 d=0.0029528 t=2431
jue da duo shu 	絕大多數	c=1 d=1 t=1891
jue de 	覺得	c=1 d=0.0330412 t=2431
ka 	卡	c=1 d=0.000850233 t=2431
ka pian 	卡片	c=4 d=0.00346757 t=2431
kai 	開	c=0 d=0.000618889 t=2431
kai shi 	開始	c=3 d=0.508439 t=2431
kai wan hui 	開晚會	c=1 d=0.00621991 t=2431
kai xin 	開心	c=1 d=0.00708341 t=2431
kan 	看	c=8 d=2.45099 t=2431
kan bu kan 	看不看	c=1 d=1 t=1828
kan cheng 	看成	c=1 d=0.29671 t=2431
kan chu lai 	看出來	c=2 d=0.00757084 t=2431
kan dao 	看到	c=4 d=0.833769 t=2431
kan de 	看得	c=1 d=1 t=1687
kan lai 	看來	c=2 d=0.134314 t=2431
kan le 	看了	c=1 d=0.0086934 t=2431
kan le yi xia 	看了一下	c=2 d=0.0767778 t=2431
kan qi lai 	看起來	c=3 d=0.00319717 t=2431
kan wan 	看完	c=1 d=0.00324708 t=2431
kan yi xia 	看一下	c=1 d=0.0131675 t=2431
ke 	可	c=0 d=0.00086517 t=2431
ke hu 	客戶	c=1 d=1 t=2240
ke huan 	科幻	c=1 d=1 t=2241
ke kong zhi xing 	可控制性	c=2 d=0.0190531 t=2431
ke li 	顆粒	c=2 d=0.0332309 t=2431
ke neng 	可能	c=3 d=0.633959 t=2431
ke shang 	課上	c=1 d=0.0206508 t=2431
ke shi 	可是	c=1 d=0.0593087 t=2431
ke shi hua 	可視化	c=3 d=0.144542 t=2431
ke xue 	科學	c=1 d=1 t=2208
ke xue jia 	科學家	c=2 d=1.9802 t=2256
ke yi 	可以	c=19 d=2.11169 t=2431
ke zhe 	刻着	c=1 d=0.000889368 t=2431
ken ding 	肯定	c=2 d=1.66698 t=2181
kong jian 	空間	c=0 d=0.000110822 t=2431
kong zhi 	控制	c=4 d=0.902016 t=2431
kong zhi li 	控制力	c=2 d=0.0189027 t=2431
kong zhi xing 	控制性	c=0 d=0.00086517 t=2431
ku zi 	褲子	c=1 d=1 t=2388
kuai dian 	快點	c=2 d=0.147364 t=2431
la 	啦	c=14 d=3.31015 t=2431
la la la 	啦啦啦	c=1 d=0.0020396 t=2431
lai 	來	c=6 d=0.136002 t=2431
lai kan 	來看	c=1 d=0.173774 t=2431
lai shi pin 	來視頻	c=1 d=1 t=2018
lai ya 	來呀	c=1 d=1 t=1564
lai zhe 	來着	c=4 d=0.622228 t=2431
lai zi 	來自	c=1 d=0.00154923 t=2431
lang fei 	浪費	c=1 d=0.0982736 t=2431
lao po 	老婆	c=5 d=0.047101 t=2431
lao shi 	老師	c=0 d=0.00510474 t=2431
le 	了	c=37 d=2.70659 t=2431
lei shui 	淚水	c=1 d=0.918512 t=2431
leng 	冷	c=2 d=1.84366 t=2037
li 	李	c=1 d=0.000845993 t=2431
li 	歷	c=1 d=0.000605171 t=2431
li 	裏	c=2 d=0.910019 t=2431
li hai 	厲害	c=1 d=0.0316285 t=2431
li kai 	離開	c=1 d=0.00129799 t=2431
li kai guo 	離開過	c=1 d=0.00115923 t=2431
li lun 	理論	c=1 d=0.0129068 t=2431
li mian 	裏面	c=7 d=0.301793 t=2431
li shi 	歷史	c=2 d=0.0771626 t=2431
li xing 	例行	c=1 d=0.0483156 t=2431
li yong 	利用	c=1 d=0.00980366 t=2431
li zi 	粒子	c=1 d=0.179066 t=2431
lian 	臉	c=2 d=1.97531 t=1640
lian 	連	c=5 d=2.38888 t=2431
lian hong 	臉紅	c=1 d=1 t=1688
lian ti 	連體	c=1 d=0.00189223 t=2431
lian xi 	練習	c=0 d=0.1 t=1526
lian xi le 	練習了	c=1 d=1 t=1527
liang 	兩	c=1 d=1 t=1785
liang ge 	兩個	c=3 d=0.617482 t=2431
liang ji 	量級	c=2 d=0.863594 t=2431
liang nian 	兩年	c=1 d=0.00148848 t=2431
liang qian 	兩千	c=1 d=1 t=1912
liang yang 	兩樣	c=1 d=0.965605 t=2431
liang zhong 	兩種	c=3 d=0.582366 t=2431
liang zhou 	兩週	c=1 d=1 t=2341
liao 	聊	c=2 d=0.0150593 t=2431
liao tian 	聊天	c=1 d=1 t=1824
lie biao 	列表	c=1 d=0.0338776 t=2431
